"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:12:28.0517764 PM","svchost.exe","2128","ReadFile","C:\Windows\System32\StateRepository.Core.dll","SUCCESS","Offset: 690,688, Length: 15,872, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"7:12:28.0523924 PM","svchost.exe","2128","ReadFile","C:\Windows\System32\StateRepository.Core.dll","SUCCESS","Offset: 678,400, Length: 12,288, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"7:12:28.0531440 PM","svchost.exe","2128","ReadFile","C:\Windows\System32\StateRepository.Core.dll","SUCCESS","Offset: 635,904, Length: 16,384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"7:12:28.0538910 PM","svchost.exe","2128","ReadFile","C:\Windows\System32\Windows.StateRepository.dll","SUCCESS","Offset: 5,473,280, Length: 16,384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"7:12:28.0544039 PM","Procmon64.exe","1132","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\d6dc3afb-1bc9-11f1-81dc-000c2970d9af","NAME NOT FOUND","Length: 528"
"7:12:28.0545198 PM","Procmon64.exe","1132","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\9e814aad-3204-11d2-9a82-006008a86939","SUCCESS","Type: REG_BINARY, Length: 184, Data: 01 00 04 80 14 00 00 00 24 00 00 00 00 00 00 00"
"7:12:28.0545846 PM","svchost.exe","2128","LockFile","C:\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-shm","SUCCESS","Exclusive: False, Offset: 123, Length: 1, Fail Immediately: True"
"7:12:28.0546387 PM","svchost.exe","2128","QueryStandardInformationFile","C:\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd","SUCCESS","AllocationSize: 3,145,728, EndOfFile: 3,145,728, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:12:28.0547066 PM","svchost.exe","2128","UnlockFileSingle","C:\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-shm","SUCCESS","Offset: 123, Length: 1"
"7:12:28.0553621 PM","svchost.exe","2128","LockFile","C:\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-shm","SUCCESS","Exclusive: False, Offset: 123, Length: 1, Fail Immediately: True"
"7:12:28.0553759 PM","svchost.exe","2128","QueryStandardInformationFile","C:\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd","SUCCESS","AllocationSize: 3,145,728, EndOfFile: 3,145,728, NumberOfLinks: 1, DeletePending: False, Directory: False"
"7:12:28.0553981 PM","svchost.exe","2128","UnlockFileSingle","C:\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-shm","SUCCESS","Offset: 123, Length: 1"
"7:12:28.0554164 PM","System","4","Thread Create","","SUCCESS","Thread ID: 6608"
"7:12:28.0564432 PM","svchost.exe","2772","ReadFile","C:\Windows\System32\winsqlite3.dll","SUCCESS","Offset: 864,256, Length: 15,872, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"7:12:28.0571548 PM","svchost.exe","2772","ReadFile","C:\Windows\System32\winsqlite3.dll","SUCCESS","Offset: 799,232, Length: 16,384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"7:12:28.0575671 PM","svchost.exe","2772","ReadFile","C:\Windows\System32\winsqlite3.dll","SUCCESS","Offset: 851,968, Length: 12,288, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"7:12:28.0578287 PM","Explorer.EXE","4184","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"7:12:28.0578930 PM","Explorer.EXE","4184","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"7:12:28.0579221 PM","Explorer.EXE","4184","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"7:12:28.0579386 PM","Explorer.EXE","4184","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"7:12:28.0580199 PM","svchost.exe","2772","ReadFile","C:\Windows\System32\cdp.dll","SUCCESS","Offset: 4,232,704, Length: 16,384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"7:12:28.0581263 PM","Explorer.EXE","4184","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0581396 PM","Explorer.EXE","4184","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS","Desired Access: Query Value"
"7:12:28.0581670 PM","Explorer.EXE","4184","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\GlobalAssocChangedCounter","SUCCESS","Type: REG_DWORD, Length: 4, Data: 2"
"7:12:28.0581804 PM","Explorer.EXE","4184","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS",""
"7:12:28.0581922 PM","Explorer.EXE","4184","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"7:12:28.0581991 PM","Explorer.EXE","4184","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS","Desired Access: Query Value"
"7:12:28.0582136 PM","Explorer.EXE","4184","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\GlobalAssocChangedCounter","SUCCESS","Type: REG_DWORD, Length: 4, Data: 6"
